,state,city,report_date,product_description,product_quantity,reason_for_recall,recalling_firm,recall_number
68,OR,Portland,20150107,"Organic Cilantro Cut & Sifted, packaged in 1 lb. or 20 lbs.    The product is labeled in parts: ""***Organic Cilantro Cut & Sifted***OREGON SPICE COMPANY***13320 NE Jarrett St. Portland, Oregon 97230***"".",166 lbs.,Organic Cilantro Cut & Sifted is recalled due to potential contamination with Salmonella.,"Regency Group, Inc., The",F-0760-2015
69,MD,Federalsburg,20151118,The Great Gourmet 11/3 oz. Eastern Shore crab and shrimp cake,644 packs as of 8/26/2015,"The firm is missing important labeling information for three of its products (The Great Gourmet 10/3 oz. Coconut seafood crab cake, The Great Gourmet 11/3 oz. Eastern Shore crab and shrimp cake and The Great Gourmet 32/1 oz. Cheesy Crab & Bacon Bites). The firms product labels do not list wheat in the ingredients statement or contains statement.    Wheat is an allergen and can be harmful to indivi",The Great Gourmet Inc,F-0178-2016
70,NJ,Edison,20150513,"Deer  Raisin Golden 7 oz., marked and unmarked packages Packed for Best Foods Inc. Edison, NJ 08817    Some have UPC 714760029255.    packaged in clear plastic packages.","2,980 packages",Deer Brand Golden Raisin contain undeclared sulfites discovered through NYSDAM laboratory sampling.,"Best Foods NJ, Inc.",F-2150-2015
71,WA,Spokane Valley,20150218,"S'more ice cream; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",Approx 19.5 gallons,The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,Numbskull LLC,F-1141-2015
72,PA,Pittsburgh,20150520,"Asiago Bagels; Sell By: (up to and including) 04/02/15; UPC: 09741 30449; Net Wt 20oz; Contains: Wheat; Giant Eagle; Distributed by Giant Eagle, Inc., Pittsburgh, PA 15238;    Plastic bag contains 6 bagels.",258 units,Giant Eagle recalls various products due to undeclared soy.,"Giant Eagle, Inc.",F-2289-2015
73,TX,Austin,20150520,Salsa Fresca Net Wt. 8 oz. (.5LB) Whole Foods Market; WFM Salsa Fresca PPK; UPC/PLU: 3640630306; Salsa Fresca Bulk CC UPC/PLU: 26206400000,1374 units; bulk: 2891 pounds,Undeclared peanut protein in products containing cumin,Whole Foods Market,F-2213-2015
74,CA,City Of Industry,20150408,BCAA with Lemon Lime,1118 units,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,Health One Pharmaceuticals Inc,F-1698-2015
75,TX,Fort Worth,20150617,"Enhanced Leaf Powder in Ziploc-type freezer bags in 500 g increments, no product label; Bulk Raw (non-extracted) Kratom Leaf Powder in Ziploc-type freezer bags in 500 g increments, no product label.",71 kg,This products contain Kratom.,Nuevotanicals,F-2417-2015
76,MI,Webberville,20150218,Garlic Horseradish BBQ Sauce,3 cases (all varieties),Firm became aware that the following products contained anchovies which were not declared on the lableing during a routine inspection by the State of MIchigan:  Hot & Medium Smoking BBQ; Garlic & Honey horseradish BBQ; Cherry BBQ Sauces.,Son In Law Products,F-1042-2015
77,MO,Kansas City,20150805,"Fat Free Pasteurized Prepared Cheese Product:    BORDEN 12/12OZ FF PEPPER JACK WHT, 5300000680..","953,720 cases total for all product",Dairy Farmers of America Inc. is recalling a number of cheese products due  that a piece of plastic  film strip might remain attached to the cheese slice upon peeling the film from the product.,Dairy Farmers OF America Inc,F-2904-2015
78,NJ,Montvale,20150408,"Healthy Mama Boost It Up Mighty Mango Caffeine Free Protein with Energy Drink 12 fl oz Distributed by:  Maternal Science, Inc.  50 Tice Boulevard, Suite 340  Woodcliff Lake, NJ 07677      UPC 810758020058",7080 units,Healthy Mama Brand dietary supplements contain undeclared milk.,Maternal Science Inc,F-1874-2015
79,TX,Dallas,20150225,Del Monte Snack Pack Apple Slices w. Grapes & Cheese Litehouse Caramel Dip 7 ounces UPC: 7-17524-77394-4,498 units,Product may be contaminated with Listeria monocytogenes,"Del Monte Fresh Produce North America, Inc",F-1210-2015
80,WA,Snohomish,20150708,"Peach Sorbet, sold under Snoqualmie brand.  Product is sold in 1 gallon trays; 1.5 and 3 gallon plastic tubs; and a number of unknown sizes. No UPC.",235 / 1 gallon trays; 3 / 1.5 gallon tubs; 6 / 3 gallon tubs; 8 unknown,Peach Sorbet is being recalled due to the potential to be contaminated with Listeria monocytogenes.,Snoqualmie Gourmet Ice Cream,F-1530-2015
81,OH,Columbus,20150916,"Saison Flax Bucket, 357, Jeni's Splendid Ice Creams, LLC, 3 gallons, plastic bucket, individually packed, frozen.  Saison Flax Pint Case, 257, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, 8 pints per case, frozen.  Saison Flax Pint, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, individually packed, frozen.","Approximately 1,513,227 total units for all pint sized products.",Product may be contaminated with Listeria monocytogenes.,Jeni's Splendid Ice Creams LLC,F-3131-2015
82,CA,City Of Industry,20150408,"Salvia, 100 Vegetarian Capsules, 500mg",490 units,Health One Pharmaceuticals is recalling dietary supplements due to significant violations of the cGMP regulations for dietary supplements.,Health One Pharmaceuticals Inc,F-1674-2015
83,WA,Spokane Valley,20150218,"Cakey Dough ice cream; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",Approx 734 gallons,The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,Numbskull LLC,F-1083-2015
84,OH,Columbus,20150916,"Askinosie Dark Milk Chocolate Ice Cream Bucket, 353, Jeni's Splendid Ice Creams, LLC, 3 gallons, plastic bucket, individually packed, frozen.  Askinosie Dark Milk Chocolate Ice Cream Pint Case, 213, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, 8 pints per case, frozen.  Askinosie Dark Milk Chocolate Ice Cream Pint, Jeni's Splendid Ice Creams, LLC, pint size, plastic container, individually packed, frozen.","Approximately 61,267 total units for all 3 gallon sized products (buckets). Approximately 1,513,227 total units for all pint sized products.",Product may be contaminated with Listeria monocytogenes.,Jeni's Splendid Ice Creams LLC,F-3156-2015
85,WA,Snohomish,20150708,"Peach Champagne Sorbet, sold under Snoqualmie brand.  Product is sold in 1.5 and 3 gallon plastic tubs, in addition to a number of unknown sizes. No UPC.",9 / 1.5 gallon tubs; 9 / 3 gallon tubs; 8 / unknown sizes,Peach Champagne Sorbet is being recalled due to the potential to be contaminated with Listeria monocytogenes.,Snoqualmie Gourmet Ice Cream,F-1529-2015
86,TX,Brenham,20150701,Blue Bell Ice Cream Strawberry Still a 1/2 Gal (2 QTS),"3,075,027 units",Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,"Blue Bell Creameries, L.P.",F-2585-2015
87,TX,San Antonio,20150408,"Austin Grand Prize Green Salsa; 1st Runner-up Texas Hot Sauce Challenge 1992; Mfg. Exclusively for: Skins N More Inc. 805 E. Court St., Suite #160 Seguin, Texas 78155 (210) 889-2109",2178 units,Product may contain undeclared peanuts.,"Creative Foodworks, Inc",F-1808-2015
88,TX,Austin,20150812,"Whole Foods Market Raw Macadamia Nuts NET WT 11 oz (312g).  UPC: 0-76958-62059-1, Distributed by Whole Foods Market Austin, TX 78703","420 cases (12 packages, 11 ounces each, per case)",Product found positive for Salmonella.,Whole Foods Market,F-2916-2015
89,NY,Long Island City,20150318,"TACO HUT ENCHILADA SAUCE BASE SEASONING (ENC--101), Net Weight XXXX Lbs. -- FIRST SPICE MIXING COMPANY LONG ISLAND CITY, N.Y.  --- INGREDIENTS: WHEAT FLOUR, SALT, SUGAR, SPICES, GARLIC POWDER, HYDROLYZED SOY PROTEIN, ONION POWDER, MONOSODIUM GLUTAMATE, CARAMEL POWDER, OLEORESIN PAPRIKA. ALLERGEN: CONTAINS WHEAT & SOY. --- The % of cumin used in the finished seasoning mix is 4.50%.  --- The affected lot was shipped on 11/4/14.",52 lbs.,Firm was notified by immediate supplier that certain lots of  ground cumin may have been contaminated with peanut protein which is not declared on the label.,"First Spice Mixing Co.,Inc.",F-1400-2015
90,WA,Spokane Valley,20150218,"Lemonder ice cream; Bulk product is labeled with flavor name and date code, which is affixed to the plastic container (1, 1.5 and 3 gallon).",Approx 64 gallons,The recalling firm was notified that raw materials used in producing the ice cream products have the potential to be contaminated with Listeria monocytogenes,Numbskull LLC,F-1112-2015
91,CA,Madera,20151125,"Baklava Assortment  Net WT 4  lbs. (1.82 kg)  total weight of five trays bundled together.  38-68 pieces per tray  Item number 11604  Manufactured by Kronos Foods Corporation, Madera, CA",34 cases,Potential for metal fragments in baked goods - discovery after increased Metal Detector Rejections.,"Kronos Foods, Inc.",F-0238-2016
92,TX,Houston,20150826,"Hill Country Fare 16 Hot Dog Buns Enriched Buns, Net Wt. 24 OZ (1 LB 8 OZ) (680g). UPC: 04122041611; Hill Country Fare 8 Hot Dog Buns Enriched Buns, Net Wt. 12 OZ (340g), UPC: 041220602018; HEB Bake Shop 8 White Hot Dog Buns Enriched Buns, Net Wt. 12 OZ, UPC: 041220839100","15,699 units",Products may contain cotton fibers.,"H E B Grocery Company, LP",F-2972-2015
93,TX,Brenham,20150701,Blue Bell Orange Swirl One Pint (473 mL),"1,382,556 units",Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,"Blue Bell Creameries, L.P.",F-2494-2015
94,CO,Lakewood,20150701,"Natural Grocers Raw Macadamia Nuts, Net Wt. 10 oz. package, Sealed plastic bag.",26398,Vitamin Cottage Natural Food Markets Inc. is recalling various lots of Natural Grocers brand Macadamia nuts because the product has the potential to be contaminated with Salmonella.,"Vitamin Cottage Natural Food Markets, Inc.",F-2737-3015
95,PA,Dauberville,20151118,"Appeeling Fruit, Sweet Fresh, Apple Wedges, Net Wt. 16 oz. 8 2 oz. bags, UPC: 6 58324  08400, Best If Used By: 9/21/2015, Packed 6 - 8 unit packages/case;    Appeeling Fruit, Sweet Fresh, Apple Wedges, Net Wt. 12 oz., , Best If Used By: 9/21/2015, Packed 6 packages/case;           Produced by: Appeeling Fruit, Dauberville, PA 19533",568 cases,"Appeeling Fruit Inc. in Dauberville, Penn. is voluntarily recalling consumer packages of fresh sliced apples with Best-if-Used-by dates of 09/14/15 and 09/21/15, due to the potential to be contaminated with listeria monocytogenes,","Appeeling Fruit, Inc",F-0181-2016
96,TX,Brenham,20150701,Blue Bell Ice Cream Italian Cream Cake 3 Gallon,"5,052 units",Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,"Blue Bell Creameries, L.P.",F-2633-2015
97,TX,Brenham,20150701,Blue Bell Ice Cream Hot Fudge Brownie Still a 1/2 Gal (2 QTS),"99,028 units",Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,"Blue Bell Creameries, L.P.",F-2560-2015
98,NV,Reno,20150107,"Organic Cilantro Medium  Bulk - size is dependent on customer request;  Certified Organic by QAI  High Quality Organics  Reno, NV;  Product of Israel",unknown at this time,"Immediate customer received a positive result for Salmonella of Organic Cilantro, Medium.","High Quality Organics, Inc.",F-0761-2015
0,IL,Woodridge,20161102,"Wilton Purple Airbrush Color, Net Wt 0.64 FL OZ (19 mL)","14,595 bottles","Airbrush color has the potential to be contaminated with mold, yeast or bacteria.",Wilton Brands.,F-0365-2017
1,KS,Louisburg,20161012,"Caramelized Pecan Brownie Mix, packaged in a plastic bag which is placed in a cardboard box, net wt. 13oz, UPC 010749011830",54 bags,"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",Rabbit Creek Products Inc.,F-2515-2016
2,TX,Austin,20161005,"365 Everyday Value Mango Frozen Fruit Bars 4 Bars-4 fl. oz. (118 mL) each-Net 16 fl. oz. (472 mL) in a cardboard carton, UPC: 0-99482-41344-6, Distributed By: Whole Foods Market Austin, Texas 78703",1336 cases (12 cartons per case),Undeclared coconut,Whole Foods Market,F-2290-2016
3,CA,Tulare,20161214,"WHOLE MILK CHEESE 8/6# LA GONDOLA;  Mozzarella Cheese Pasteurized Milk, Cheese Cultures, Salt, Enzymes.    UPC: #075805010141    Saputo code: #1014 ;",1582.24 lbs.,Firm received one complaint from a food service customer stating a restaurant employee found white plastic in a loaf of cheese.,"Saputo Cheese USA, Inc.",F-0656-2017
4,GA,Lake City,20161026,"MAC & CHEESE POPPERS, 100 CT, Prepared by: Kabobs, 54234 North Lake Dr. Lake City, GA 30260.",76 cases (200 units per case),Product was manufactured with flour recalled due to E. coli O121 contamination.,Kabobs Inc,F-0121-2017
5,CA,Dublin,20160210,Dockside Classics  4 Premium  Crab Cakes  Net Wt. 12 oz.  UPC: 045425165446,20 cases,The product may not have been transported at a safe temperature.,Albertsons Llc,F-0535-2016
6,CA,Redwood City,20160629,"NatureBox Country Ranch Sunflower kernels;   5 oz. (142g) customer stand up pouch.  UPC: 8 52523 00535 8    Ingredients: Sunflower kernels, Sunflower Oil, Buttermilk Powder, Salt, Rice Syrup Solids, Onion and Garlic, Sour Cream Powder (cultured milk, nonfat milk), Tomato Powder, Cheese Powder (cheddar cheese, cultures pasteurized milk, salt, enzymes), Torula Yeast, natural Flavors, Corn Flour, Citric Acid, Parsley. Green Bell Pepper Powder, Silicon Dioxide.  Contains: Milk.    Distributed by NatureBox, San Carlos, CA 94070","14, 941 x 5 oz. pouches.",Firm was notified by supplier of sunflower seeds that they are being recalled due to Listeria Monocytogenes.,"NatureBox, Inc.",F-1525-2016
7,KS,Louisburg,20161012,"White Chocolate Raspberry Creme Cake Muffin Mix, packaged in a plastic bag which is placed in a cardboard box, net wt. 16oz, UPC 010749010994",39 bags,"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",Rabbit Creek Products Inc.,F-2500-2016
8,LA,West Monroe,20160113,Crazy about Cookies 2lb Birthday Celebration COLLECTION Decorated SUGAR COOKIE KIT Item # 03-4033 UPC Code - 698768034339,569 units,Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,Pine Valley Foods Inc,F-0430-2016
9,NY,Jamaica,20161109,"VitaTops Apple Crumb, NET WT. 2 oz. (55g), packed in a clear plastic film and sold frozen in cases of 12 units, 24 units, or variety packs.  The affected lots were sold in case of 24 units per case.",145 cases (24 units per case),The affected lots of VitaTops Apple Crumb contain undeclared milk.,Vitalicious Acquisition,F-0370-2017
10,MA,Westborough,20160413,"Krakus Imported Polish Ham, sold in a deli bag.  This is a deli service item","10,407",Product may have been sliced on the same equipment where the mortadella with pistachios was sliced.,Bj Wholesale Club,F-0961-2016
11,TX,Grand Prairie,20160831,la Torre Copito Marshmallow Chocolate Cookie NET WT 4.94 oz packaged in a cardboard box.,"16,262 cartons","Calcium caseinate is declared on the label, but milk is not listed.","La Torre Foods Usa, Inc.",F-1973-2016
12,LA,West Monroe,20160113,Crazy about Cookies 2lb Holiday Gathering COLLECTION Decorated SUGAR COOKIE KIT Item # 03-4034 UPC Code - 698768034346,8942 units,Pre-portioned sugar cookie dough contains undeclared milk and pre-portioned walnut chocolate chunk cookie dough contains undeclared egg.,Pine Valley Foods Inc,F-0427-2016
13,MN,Chaska,20161026,"FE Green Bell Pepper 338, Product Code 22338.  50 lb corrugated case with polyliner.  Manufactured by:  QualiTech, 318 Hazeltine Drive, Chaska, MN  55318 USA",300 lbs.,QualiTech has been notified by a supplier that they received material with the potential presence of E. coli O121 bacteria.,"QualiTech, Inc",F-0195-2017
14,FL,Miami,20160224,"Neuro-Cetin, sold in bulk 50,000 capsules.","50,000 capsules","Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufatured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",Sunset Natural Products Inc.,F-0540-2016
15,CA,Bakersfield,20160727,"Bolthouse Farms Chocolate Protein Plus:  22 g protein per bottle + 21 vitamins & minerals.  Packaged in 11 oz./325 mL - item number PPC3BF9;   15.2 oz/450 mL I item number: PPC4BF6;- US; PPC4BC6 - Canada;   32 oz./946 mL; item number PPCQBF6 - US, PPCQBC6 - Canada:                     Selling Unit UPC                            Case GTIN  11 oz.       0-71464-01868-9                          1-00-71464-01868-6;  15.2 oz.    0-71464-30650-2                          1-00-71464-30603-5 - US;                    0-71464-30650-2                          1-00-71464-30603-5 - Canada;  32 oz         0-71464-30651-9                          1-00-71464-30602-8 - US;                     0-71464-30651-9                          1-00-71464-30602-8 - Canada    Bolthouse Juice Products, LLC, Bakersfield, CA 93307","3,814,275 units; 624,148 cases - total all varieties",Bolthouse Farms is recalling  8 varieties of Protein Plus and Perfectly Protein drinks due to spoilage that may cause beverage to appear lumpy and have an unpleasant taste and odor.,Wm Bolthouse Farms Inc,F-1701-2016
16,CA,Vernon,20161228,"4 GL PAIL SFF FRUIT MIX - Light Syrup, UPC 4294710455",2 pails,Simply Fresh Fruit is recalling cantaloupe and fruit mixes with cantaloupe because they may be contaminated with Listeria monocytogenes.,Simply Fresh Fruit,F-0881-2017
17,CA,Los Angeles,20160928,"VIP-STEAMWORKS ORGANIC SWEET CORN, 6 pk./24 oz., Product # 7007706448","1,915,263 cases Total",Ajinomoto Windsor is recalling various Not-Ready-To Eat frozen food items due to the potential for these products to be contaminated with Listeria monocytogenes.,"Ajinomoto Windsor Inc., Golden Tiger Plant",F-2368-2016
18,NY,Brooklyn,20160413,"Chef Hon brand STEAMED BUNS WITH SEAFOOD MARINATED IN XO-SAUCE, Net Wt. 1 lb. 8 oz. (682g), UPC 7 47518 00163 0, KEEP FROZEN --- Peking Food LLC Brooklyn, NY",40 cases,Undeclared eggs from component used in production of the finished product.,Peking Food LLC,F-0904-2016
19,NJ,Belleville,20161214,Bindi Cappucino Gelato 1.24 Gal Container (4.8L)    UPC 815073016595,165 Tubs,Gelato may contain strands or strings of plastic or have a cracked lid.,Bindi North America,F-0558-2017
20,TN,Bells,20160713,"PICTSWEET(R) Deluxe Stir-Fry Chinese Style Vegetables, Oriental Seasoning, NET WT 24 OZ (1 LB 8 OZ) 680g, UPC 70560 95689, DISTRIBUTED BY THE PICTSWEET COMPANY, BELLS, TN 38006",960 units,Products contain onions which were recalled for the possibility of Listeria monocytogenes contamination.,The Pictsweet Company,F-1664-2016
21,CA,Solana Beach,20160921,"Earnest Eats Chewy Granola Dark Chocolate Almond  UPC 891048001636  5-1.2 oz (35g) BARS NET WT 6.2 oz (175g)    Distributed by Earnest Eats Solana Beach, CA 92075","304 master cases ( 5 bars per carton, 12 cartons per case, total 18,240 bars)",Potential Listeria monocytogenes contamination.,"Annona Company, LLC",F-2223-2016
22,WA,Pasco,20160803,"Organic Chopped Onions, Brand Bybee Foods, Net Wt 45 lb, UPC R02303    Organic Diced Onions, Brand Columbia River Organics, Net Wt 10 oz, UPC 5711000116    Diced Onions, Brand Northwest Grower's Select, Net Wt 45 lb, UPC 19190  Pearl Onions, Brand Northwest Growers Select, Net Wt 20 lb, UPC 22100    Organic Diced Onions, Brand Organic by Nature, Net Wt 45 lb, UPC AK#200064  Organic Diced Onions, Brand Organic by Nature, Net Wt 45 lb, UPC 202819    Raw Chopped Onions, Brand Farmer's Bounty, Net Wt 45 lb, UPC 26290     Chopped Onions, Brand Parade, Net Wt 12 oz, UPC 5070055791    Chopped Onion, Brand Signature Kitchens, Net Wt 12 oz, UPC 2113009049    Onion Cut, Brand Veggie Maria, Net Wt 500 g, UPC 543567006321    *******BULK containers***************    Organic Onions Diced, Brand Amy's, Net Wt 45 lb    Organic Onions Diced, Brand CH Belt, Net Wt 45    Organic Onions Diced, Brand Don Lee Farms, Net Wt 45    Organic Onions Diced, Happy Family/Nuture INC, Net Wt 1250    Organic Onions Diced, Brand Pacific Foods, Net Wt 45 lb  Organic Onions Diced, Pacific Foods, Net Wt 1250    Onions Diced, Brand Single Source, Net Wt 45 lb","6,689,779 lbs",Onions are recalled because they have the potential to be contaminated with Listeria monocytogenes.,"CRF Frozen Foods, LLC",F-1815-2016
23,CA,Monterey,20160309,"Caesar Bacon Salad Kit, 14.54 oz. bag - Walmart;      All marketed Dole and private label salads produced in the Springfield, OH facility.  Product may be identified by an A in the upper right hand corner of the package.",All product produced in the facility,Dole is suspending operations and withdrawing all marketed Dole and private label salads produced at the Springfield OH facility.  Products may be identified with a product code beginning with the letter A in the upper right hand corner of the package.,Dole Fresh Vegetables Inc,F-0649-2016
24,WA,Pasco,20160824,"IQF 1/4"" Frozen WHITE Onion Dice, item number 103342, bulk cases, net wt. 45 lbs.","25,200 lbs.","IQF 1/4"" White Onion Dice is voluntarily recalled because it has the potential to be contaminated with Listeria monocytogenes.",Oregon Potato Company,F-1942-2016
25,PA,Sunbury,20161019,Gourmet Chocolate Chip Monster Muffins (4 count),"170,186 total units","WEIS MARKETS IS ISSUING A VOLUNTARY RECALL FOR 30 BAKERY PRODUCTS INCLUDING MUFFINS, COOKIES, AND SHORTBREAD AND BAKED BREAD ITEMS DUE TO THE POTENTIAL PRESENCE OF SMALL METAL FRAGMENTS (2-9MM) IN THE SUGAR TOPPING USED ON THESE PRODUCTS. THE VOLUNTARY ACTION IS BEING TAKEN DUE TO OUR SUPPLIERS RECALL OF THE SUGAR INGREDIENT.","Weis Markets, Inc., Ice Cream Division",F-0022-2017
26,NY,Brooklyn,20160928,"Novus Snack brand Golden Raisins, Net 10 oz., Product of U.S.A. --- Firm on label: Packed for Ryszard food Distributor, Inc.",10 - 10 oz. plastic packages (bags),The product contained undeclared sulfites (1337.2 ppm) based on sampling and analysis by New York State Department of Agriculture and Markets.,"Ryszard Food Distributor, Inc.",F-2387-2016
27,TX,Denton,20160420,Pioneer Original Buttermilk Pancake Mix NET WT 5 LBS 2.27 kg,2377 cases,May contain small metal fragments from wire mesh sifter.,"C. H. Guenther & Son, Inc.dba Morrison Milling",F-0881-2016
28,KS,Louisburg,20161012,"Chocolate Peanut Butter Brownie Mix, packaged in a plastic bag which is placed in a cardboard box, net wt. 12.2oz, UPC 010749011526",81 bags,"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",Rabbit Creek Products Inc.,F-2519-2016
29,CA,Monterey,20160309,"Sweet Baby lettuces,  5 oz. clamshell, Dole brand. .       All marketed Dole and private label salads produced in the Springfield, OH facility.  Product may be identified by an A in the upper right hand corner of the package.",All product produced in the facility,Dole is suspending operations and withdrawing all marketed Dole and private label salads produced at the Springfield OH facility.  Products may be identified with a product code beginning with the letter A in the upper right hand corner of the package.,Dole Fresh Vegetables Inc,F-0675-2016
30,GA,Lake City,20161026,"WILD MUSHROOM IN PHYLLO, 100 CT and 200 CT, Prepared by: Kabobs, 54234 North Lake Dr. Lake City, GA 30260.",10 cases (200 units per case),Product was manufactured with flour recalled due to E. coli O121 contamination.,Kabobs Inc,F-0135-2017
31,NY,Avon,20160106,"Barilla MEDIUM SHELLS, 1 LB (454 g), GTIN 00076808002881, packed as twelve boxes in 1 case",43 cases,"Barilla America NY, Inc. has recalled four types of pasta due to the presence of aluminum fragments","Barilla America NY, Inc.",F-0458-2016
32,IL,Woodstock,20160217,Meltaway bar-black cherry lemonade.,216 bars,Undeclared Milk on the labels of various dark chocolate bars. FDA samples came back positive for milk.,E3 Artisan,F-0312-2016
33,ME,Yarmouth,20160217,"WATCHAREE'S thai peanut sauce (UPC 094368999977), product is in a glass jar, NET WT 11.75 OZ (333 g)","4,327 Jars Total",Sauces may not meet quality standards due to the presence of mold.,Thai Culinary Arts Studio LLC,F-0566-2016
34,TX,Mcallen,20160706,Productos Del Campo Castillo Chile Habanero (Fresh Habanero Peppers),"154 boxes each containing 8 lbs of product  for a total of 1,232 lbs.",Potential to be contaminated with Salmonella.,Montero Farms,F-1587-2016
35,CA,Emeryville,20160727,"CLIF BAR Sierra Trail Mix  energy bar, 68 g bar  UPC: 7-22252-16105-5;  6 and 12 count packages, mini pack sizes-150 count Sample only. No UPC.    INGREDIENTS: Organic Brown Rice Syrup, Organic Rolled Oats, Organic Raisins, Organic Peanuts, Soy Protein Isolate, Rice Flour, Organic Cane Syrup, Organic Peanut Butter, Organic Roasted Soybeans, Organic Oat Fiber, Dried Cane Syrup, Organic Soy Flour, Unsweetened Chocolate¿¿, Pumpkin Seeds, Sunflower Seeds, Organic Date Paste, Sea Salt, Cocoa Butter¿¿, Natural Flavors, Barley Malt Extract, Sunflower Oil, Vanilla Extract, Soy Lecithin, Mixed Tocopherols (Antioxidant).    ClifBar & Company, Emeryville, CA","approximately 1,973,133 packaging units total, all varieties",Firm was notified by supplier of sunflower kernels that they may be contaminated with Listeria monocytogenes.,Clif Bar And Company,F-1694-2016
36,GA,Lake City,20161026,"PANANG SHRIMP, 200 CT, Prepared by: Kabobs, 54234 North Lake Dr. Lake City, GA 30260.",107 cases (100 units per case),Product was manufactured with flour recalled due to E. coli O121 contamination.,Kabobs Inc,F-0120-2017
37,OH,Akron,20161221,"Hickory Harvest FOODS Sweet & Salty Trail Mix 25 lb. UPC 0-36232-00510-0, 4.5oz UPC 0-36232-06075-5.  INGREDIENTS: Peanuts, Raisins***Sunflower Kernel*** AKRON, OH 44319 UPC 0 36232 00510 0",713 cases/1/25 lb bag,The firm was notified by their supplier that the products may be contaminated with Listeria monocytogenes..,Ohio Hickory Harvest Brand Products Inc.,F-0316-2017
38,LA,Gretna,20160210,"Zatarain's New Orleans Style RED BEANS AND RICE, ORIGINAL, NET WT 8 OZ, UPC 7142909849",1656 units,"Zatarain's is initiating a voluntary recall of Zatarain's Red Beans And Rice Original 8 oz. package, USPC 7142909849 with date code of  BEST BY JUL 31 16Z as it may contain Creamy Parmesan Rice  Mix which has a dairy allergen (milk).","Zatarain's Partnership, L.P.",F-0462-2016
39,GA,Tucker,20160622,"2 oz. TranSmart, Macadamia White Chocolate Cookie Dough, Net Weight 30 lbs (13.6 kg).","34,525 total cases",Undeclared allergen; Peanut protein.,CSM Bakery Products NA,F-1455-2016
40,KS,Louisburg,20161012,"Killer Mudd Brownie Mix, packaged in a plastic bag which is placed in a cardboard box, net wt. 12.25oz, UPC 010749011106 (Brand names: Rabbit Creek Products, Heart of Iowa Market Place, Soulard Spice Shop, The Farmers House, and The Woods)",139 bags,"Bread, muffin, and brownie mixes may have been manufactured with flour contaminated with E. coli O121",Rabbit Creek Products Inc.,F-2523-2016
41,TX,Denton,20160420,American Blue Ribbon Holdings. LLC Multigrain Pancake Mix NET WT 37.5 LBS (17.01 kg),3220 cases,May contain small metal fragments from wire mesh sifter.,"C. H. Guenther & Son, Inc.dba Morrison Milling",F-0891-2016
42,CT,Farmington,20160921,ULTIMATE NUTRITION AMINO GOLD TABLETS SUPER WHEY FORMULA Dietary Supplement 1500 mg 325 tablets,less than 1000 of all/lots products involved in this recall,Product contains undeclared milk.,"Ultimate Nutrition, Inc.",F-1768-2016
43,KS,Kansas City,20160907,"Tippins 9"" Keylime Base packaged in ?.  UPC code is 680816000205. Packaged in 18 pie bases per case.  Shipped frozen. Net wt. 31oz each.",60 cases of pie bases,Product was manufactured with an ingredient which has the potential to contain low levels of peanut residue.,"Tippin's Gourmet Pies, LLC",F-1993-2016
44,NJ,Hackettstown,20160921,"COMBOS SNACKS CHEDDAR CHEESE PRETZEL - 15 OZ -  Mars Chocolate North America, LLC Hackettstown, NJ 07840-1503 USA  UPC 41419780480","183,678 cases (total)",Mars Chocolate North America is recalling select Combos due to the potential for undeclared peanut residue.,Mars Chocolate North America,F-2171-2016
45,OR,Roseburg,20160224,"Umpqua Peppermint Candy Ice Cream, Item no. 12904, 1.75 quart container, UPC 0 71203 08793 8",354/1.75 quart containers,Umpqua Peppermint Candy Ice Cream was made from milk which was tested presumptive positive for beta lactam antibiotics. The firm did not conduct any confirmation test.,Umpqua Dairy Products Co,F-0605-2016
46,CA,Santa Barbara,20161214,McConnell's Fine Ice Cream  Peppermint Stick,"22,662 gallons total for all products",Potential Listeria monocytogenes contamination.,"McConnell's Ice Cream, Inc.",F-0565-2017
